County,1985,1990,1995,2000,2005,2010,2014
Jackson,72.83,73.1,73.24,73.9,74.01,74.74,74.58
Pike,73.19,73.34,73.31,74.01,74.13,74.92,74.75
Lawrence,72.84,73.32,73.31,74.09,74.5,75.38,75.26
Scioto,72.77,73.12,73.4,73.9,74.34,74.95,74.77
Adams,72.93,73.36,73.44,74.1,74.46,75.11,75.15
Vinton,73.45,73.59,73.83,74.43,74.79,75.52,75.27
Fayette,73.68,73.9,73.93,74.57,74.8,75.47,75.34
Gallia,73.56,74.07,74.04,74.76,74.92,75.72,75.55
Jefferson,73.72,74.02,74.15,74.8,75.04,76.02,75.79
Meigs,73.5,73.93,74.19,74.78,75.12,75.97,75.92
Brown,74.15,74.4,74.36,75.2,75.25,76.06,75.97
Perry,73.64,74.17,74.39,75.29,75.58,76.69,76.63
Harrison,73.93,74.31,74.5,75.24,75.65,76.41,76.35
Mahoning,73.56,74.39,74.52,75.74,76.4,77.15,77.24
Clark,73.58,74.26,74.54,75.24,75.57,76.42,76.34
Guernsey,73.84,74.24,74.55,75.52,75.88,76.72,76.8
Ross,74,74.32,74.56,75,75.12,75.83,75.87
Lucas,73.52,74.39,74.58,75.33,76.15,77.1,77.06
Highland,74.12,74.6,74.66,75.18,75.53,76.16,76.12
Cuyahoga,73.54,74.07,74.67,75.9,76.39,77.71,77.87
Hocking,74.11,74.47,74.7,75.41,75.82,76.77,76.71
Pickaway,74.09,74.39,74.7,75.6,76.23,77.3,77.5
Madison,73.63,74.27,74.79,75.68,76.4,77.32,77.58
Marion,73.99,74.57,74.79,75.82,76.23,77.16,77.08
Athens,74.17,74.72,74.84,75.58,76.23,76.77,76.9
Franklin,73.96,74.57,74.91,75.79,76.08,77.28,77.6
Montgomery,74.01,74.7,74.92,75.54,76.36,76.97,76.91
Hamilton,74.07,74.89,74.94,76,76.38,77.46,77.24
Clinton,74.32,74.75,74.95,75.69,76.13,76.89,76.81
Muskingum,73.83,74.39,74.96,75.93,76.29,77.11,77.04
Ashtabula,74.27,74.69,75.03,75.5,76,76.75,76.64
Crawford,74.45,74.95,75.08,76.09,76.5,77.45,77.2
Morgan,74.28,74.9,75.13,75.99,76.61,77.53,77.66
Hardin,74.53,75.08,75.13,75.95,76.26,76.89,76.89
Trumbull,74.43,74.91,75.15,76.18,76.64,77.59,77.38
Logan,74.53,75.01,75.18,76.14,76.53,77.28,77.3
Columbiana,73.95,74.83,75.21,75.96,76.64,77.78,77.63
Coshocton,74.59,74.91,75.23,76.14,76.57,77.53,77.5
Clermont,74.14,75.14,75.31,76.21,76.85,77.85,78.18
Champaign,74.83,75.29,75.37,76.23,76.6,77.36,77.39
Belmont,74.17,74.97,75.4,75.9,76.43,77.1,77.54
Licking,74.59,75.47,75.43,76.45,76.98,77.9,78.07
Richland,74.63,75.18,75.48,76.54,77.07,77.87,77.81
Huron,74.72,75.32,75.65,76.38,76.72,77.66,77.67
Washington,75.18,75.52,75.65,76.3,76.8,77.83,77.63
Erie,74.75,75.24,75.68,76.59,77.06,77.87,77.96
Knox,74.85,75.53,75.69,76.6,77.08,77.99,78.21
Paulding,74.7,75.39,75.73,76.72,77.3,78.19,78.35
Summit,74.36,75.39,75.75,76.56,77.09,78.21,78.02
Lorain,74.98,75.54,75.8,77,77.53,78.41,78.59
Allen,75.08,75.62,75.83,76.49,77.29,77.95,77.95
Monroe,75.36,75.83,75.84,76.59,76.75,77.7,77.65
Butler,74.56,75.53,75.85,76.34,76.97,77.89,77.88
Morrow,75.1,75.66,75.96,76.84,77.32,78.17,78.24
Preble,75.46,75.82,75.99,76.59,76.9,77.53,77.41
